Type,Summary,Day,Islanders
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Spencer Wilks
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Aaron Waters
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Tanyel Revan
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Olivia Hawkins
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Will Young
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Jessie Wynter
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Tanya Manhenga
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Shaq Muhammad
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Tom Clare
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Samie Elishi
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Ron Hall
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Lana Jenkins
Coupling,"On Day 16, the islanders recoupled again with the boys picking which girl they'd like to be with. Aaron and Lana, Shaq and Tanya, Spencer and Olivia, and Will and Jessie all remained together, meanwhile Kai chose Samie, Ron coupled up with Tanyel, and Tom went with Ellie. As Zara was the only girl not picked she was dumped from the island.",16,Kai Fagan
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Kai Fagan
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Lana Jenkins
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Ron Hall
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Samie Elishi
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Tom Clare
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Shaq Muhammad
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Tanya Manhenga
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Jessie Wynter
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Will Young
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Casey O'Gorman
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Olivia Hawkins
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Ellie Spence
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Jordan Odofin
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Tanyel Revan
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Aaron Waters
Challenges,"On Day 18, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",18,Spencer Wilks
Dates,"On Day 15, Jessie and Will left the villa to go on a date.",15,Will Young
Dates,"On Day 15, Jessie and Will left the villa to go on a date.",15,Jessie Wynter
Dates,"On Day 17, new Islanders Casey and Jordan were asked to choose three other islanders to take on dates. Casey chose Lana, Olivia and Jessie, whilst Jordan picked Tanyel, Samie and Olivia.",17,Jordan Odofin
Dates,"On Day 17, new Islanders Casey and Jordan were asked to choose three other islanders to take on dates. Casey chose Lana, Olivia and Jessie, whilst Jordan picked Tanyel, Samie and Olivia.",17,Casey O'Gorman
Dates,"On Day 17, new Islanders Casey and Jordan were asked to choose three other islanders to take on dates. Casey chose Lana, Olivia and Jessie, whilst Jordan picked Tanyel, Samie and Olivia.",17,Tanyel Revan
Dates,"On Day 17, new Islanders Casey and Jordan were asked to choose three other islanders to take on dates. Casey chose Lana, Olivia and Jessie, whilst Jordan picked Tanyel, Samie and Olivia.",17,Olivia Hawkins
Dates,"On Day 17, new Islanders Casey and Jordan were asked to choose three other islanders to take on dates. Casey chose Lana, Olivia and Jessie, whilst Jordan picked Tanyel, Samie and Olivia.",17,Jessie Wynter
Dates,"On Day 17, new Islanders Casey and Jordan were asked to choose three other islanders to take on dates. Casey chose Lana, Olivia and Jessie, whilst Jordan picked Tanyel, Samie and Olivia.",17,Samie Elishi
Dates,"On Day 17, new Islanders Casey and Jordan were asked to choose three other islanders to take on dates. Casey chose Lana, Olivia and Jessie, whilst Jordan picked Tanyel, Samie and Olivia.",17,Lana Jenkins
Exits,"On Day 16, Zara was dumped from the island after failing to couple up.",16,Zara Lackenby-Brown
Exits,"On Day 19, after receiving the fewest public votes, Aaron, Kai and Spencer were in danger of being dumped. It was then up to the girls to choose one boy to save. They saved Kai, therefore dumping Aaron and Spencer.",19,Aaron Waters
Exits,"On Day 19, after receiving the fewest public votes, Aaron, Kai and Spencer were in danger of being dumped. It was then up to the girls to choose one boy to save. They saved Kai, therefore dumping Aaron and Spencer.",19,Kai Fagan
Exits,"On Day 19, after receiving the fewest public votes, Aaron, Kai and Spencer were in danger of being dumped. It was then up to the girls to choose one boy to save. They saved Kai, therefore dumping Aaron and Spencer.",19,Spencer Wilks
Entrances,"On Day 23, Claudia entered the villa.",23,Claudia Fogarty
Coupling,"On Day 21, the islanders recoupled again with the girls picking which boy they'd like to be with. Jessie and Will, Tanyel and Ron, and Tanya and Shaq all remained together, meanwhile Ellie chose Jordan, Olivia coupled up with Kai, Samie went with Tom, and Lana picked Casey.",21,Tanyel Revan
Coupling,"On Day 21, the islanders recoupled again with the girls picking which boy they'd like to be with. Jessie and Will, Tanyel and Ron, and Tanya and Shaq all remained together, meanwhile Ellie chose Jordan, Olivia coupled up with Kai, Samie went with Tom, and Lana picked Casey.",21,Jordan Odofin
Coupling,"On Day 21, the islanders recoupled again with the girls picking which boy they'd like to be with. Jessie and Will, Tanyel and Ron, and Tanya and Shaq all remained together, meanwhile Ellie chose Jordan, Olivia coupled up with Kai, Samie went with Tom, and Lana picked Casey.",21,Ellie Spence
Coupling,"On Day 21, the islanders recoupled again with the girls picking which boy they'd like to be with. Jessie and Will, Tanyel and Ron, and Tanya and Shaq all remained together, meanwhile Ellie chose Jordan, Olivia coupled up with Kai, Samie went with Tom, and Lana picked Casey.",21,Olivia Hawkins
Coupling,"On Day 21, the islanders recoupled again with the girls picking which boy they'd like to be with. Jessie and Will, Tanyel and Ron, and Tanya and Shaq all remained together, meanwhile Ellie chose Jordan, Olivia coupled up with Kai, Samie went with Tom, and Lana picked Casey.",21,Will Young
