Type,Summary,Day,Islanders
Exits,"On Day 12, after receiving the fewest public votes, Catherine, Charlotte and Leah, and André, Sammy and Zachariah were in danger of being dumped. The remaining islanders then had to choose one boy and one girl to dump from the island. The girls chose André, and the boys chose Charlotte.",12,André Furtado
Exits,"On Day 12, after receiving the fewest public votes, Catherine, Charlotte and Leah, and André, Sammy and Zachariah were in danger of being dumped. The remaining islanders then had to choose one boy and one girl to dump from the island. The girls chose André, and the boys chose Charlotte.",12,Zachariah Noble
Exits,"On Day 12, after receiving the fewest public votes, Catherine, Charlotte and Leah, and André, Sammy and Zachariah were in danger of being dumped. The remaining islanders then had to choose one boy and one girl to dump from the island. The girls chose André, and the boys chose Charlotte.",12,Sammy Root
Exits,"On Day 12, after receiving the fewest public votes, Catherine, Charlotte and Leah, and André, Sammy and Zachariah were in danger of being dumped. The remaining islanders then had to choose one boy and one girl to dump from the island. The girls chose André, and the boys chose Charlotte.",12,Leah Taylor
Exits,"On Day 12, after receiving the fewest public votes, Catherine, Charlotte and Leah, and André, Sammy and Zachariah were in danger of being dumped. The remaining islanders then had to choose one boy and one girl to dump from the island. The girls chose André, and the boys chose Charlotte.",12,Catherine Agbaje
Entrances,"On Day 16, Mal and Montel entered the villa.",16,"Malissa ""Mal"" Nichol"
Entrances,"On Day 16, Mal and Montel entered the villa.",16,Montel McKenzie
Entrances,"On Day 19, Kady entered the villa.",19,Kady McDermott
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Mehdi Edno
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Zachariah Noble
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Whitney Adebayo
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Tyrique Hyde
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Scott van-der-Sluis
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Sammy Root
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Molly Marsh
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Mitchel Taylor
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Leah Taylor
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Jess Harding
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Ella Thomas
Coupling,"On Day 14, the islanders recoupled again with the boys picking which girl they'd like to be with. Mehdi and Whitney, and Sammy and Jess remained together, meanwhile Mitchel chose Leah, Scott coupled up with Catherine, Zachariah went with Molly, and Tyrique got back together with Ella.",14,Catherine Agbaje
Coupling,"On Day 16, the islanders voted for their least compatible couples. As Jess and Sammy, and Leah and Mitchel received the most votes, they were all now single and unable to recouple together at the next recoupling.",16,Sammy Root
Coupling,"On Day 16, the islanders voted for their least compatible couples. As Jess and Sammy, and Leah and Mitchel received the most votes, they were all now single and unable to recouple together at the next recoupling.",16,Mitchel Taylor
Coupling,"On Day 16, the islanders voted for their least compatible couples. As Jess and Sammy, and Leah and Mitchel received the most votes, they were all now single and unable to recouple together at the next recoupling.",16,Leah Taylor
Coupling,"On Day 16, the islanders voted for their least compatible couples. As Jess and Sammy, and Leah and Mitchel received the most votes, they were all now single and unable to recouple together at the next recoupling.",16,Jess Harding
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,"Malissa ""Mal"" Nichol"
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Sammy Root
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Montel McKenzie
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Mitchel Taylor
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Leah Taylor
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Jess Harding
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Zachariah Noble
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Whitney Adebayo
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Tyrique Hyde
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Scott van-der-Sluis
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Molly Marsh
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Ella Thomas
Coupling,"On Day 18, the islanders recoupled with the girls picking which girl they'd like to couple up. Following a previous twist, Jess and Sammy, and Leah and Mitchel were banned from coupling up together. As new islanders, both Mal and Montel were given first choice. Mal chose Sammy, whilst Montel coupled up with Leah. As well as this, Catherine and Scott, Ella and Tyrique, Molly and Zachariah, and Whitney and Medhdi remained together. Jess also chose to couple up with Mitchel.",18,Catherine Agbaje
Coupling,"On Day 19, new islander Kady was able couple up with a boy of her choice. She picked Zachariah, which ultimately left Molly single and dumped.",19,Zachariah Noble
Coupling,"On Day 19, new islander Kady was able couple up with a boy of her choice. She picked Zachariah, which ultimately left Molly single and dumped.",19,Molly Marsh
Coupling,"On Day 19, new islander Kady was able couple up with a boy of her choice. She picked Zachariah, which ultimately left Molly single and dumped.",19,Kady McDermott
Challenges,"On Day 15, the islanders took part in ""Situationship"". Hosted by Mitchel and Leah, the other couples answered a series of questions in which they had to match their partner's answer in order to progress further in the game.",15,Mitchel Taylor
Challenges,"On Day 15, the islanders took part in ""Situationship"". Hosted by Mitchel and Leah, the other couples answered a series of questions in which they had to match their partner's answer in order to progress further in the game.",15,Leah Taylor
Dates,"On Day 16, new islanders Mal and Montel each dated the newly single islanders who were split during a least compatibility vote. Mal dated Mitchel and Sammy, whereas Montel went on dates with Jess and Leah.",16,"Malissa ""Mal"" Nichol"
Dates,"On Day 16, new islanders Mal and Montel each dated the newly single islanders who were split during a least compatibility vote. Mal dated Mitchel and Sammy, whereas Montel went on dates with Jess and Leah.",16,Montel McKenzie
Dates,"On Day 16, new islanders Mal and Montel each dated the newly single islanders who were split during a least compatibility vote. Mal dated Mitchel and Sammy, whereas Montel went on dates with Jess and Leah.",16,Sammy Root
Dates,"On Day 16, new islanders Mal and Montel each dated the newly single islanders who were split during a least compatibility vote. Mal dated Mitchel and Sammy, whereas Montel went on dates with Jess and Leah.",16,Mitchel Taylor
Dates,"On Day 16, new islanders Mal and Montel each dated the newly single islanders who were split during a least compatibility vote. Mal dated Mitchel and Sammy, whereas Montel went on dates with Jess and Leah.",16,Leah Taylor
Dates,"On Day 16, new islanders Mal and Montel each dated the newly single islanders who were split during a least compatibility vote. Mal dated Mitchel and Sammy, whereas Montel went on dates with Jess and Leah.",16,Jess Harding
Dates,"On Day 18, Molly and Zachariah left the villa to go on their first date.",18,Zachariah Noble
Dates,"On Day 18, Molly and Zachariah left the villa to go on their first date.",18,Molly Marsh
Challenges,"On Day 21, the boys and girls went head-to-head to raise their opposing team's heart rate. At the end of the game they found out who raised their heart rate the most.",21,
Challenges,"On Day 23, the girls competed in a snogging challenge. The girls kissed each boy in turn whilst the boys were blindfolded and gave them a score out of ten.",23,
Dates,"On Day 22, Ella and Tyrique left the villa to go on their first date.",22,Tyrique Hyde
Dates,"On Day 22, Ella and Tyrique left the villa to go on their first date.",22,Ella Thomas
Dates,"On Day 25, single islanders Sammy and Whitney were each able to pick another islander to take on a date. Sammy picked Jess, whilst Whitney chose Zachariah.",25,Whitney Adebayo
Dates,"On Day 25, single islanders Sammy and Whitney were each able to pick another islander to take on a date. Sammy picked Jess, whilst Whitney chose Zachariah.",25,Sammy Root
